"","state","fips","lower_pred","pred","upper_pred","prob_win"
"1","Alabama",1,32.4,37.36,42.32,0.03
"2","Alaska",2,36.93,41.91,46.89,0.96
"3","Arizona",4,44.53,49.48,54.43,80.2
"4","Arkansas",5,30.59,35.55,40.51,0.01
"5","California",6,59.14,64.11,69.08,100
"6","Colorado",8,50.39,55.43,60.48,99.79
"7","Connecticut",9,55.59,60.58,65.57,100
"8","Delaware",10,54.3,59.26,64.22,99.99
"9","Florida",12,44.93,49.85,54.78,84.48
"10","Georgia",13,43.35,48.31,53.27,61.45
"11","Hawaii",15,63.22,68.46,73.7,100
"12","Idaho",16,30.97,35.99,41.01,0.01
"13","Illinois",17,52.76,57.7,62.65,99.96
"14","Indiana",18,35.98,40.94,45.89,0.45
"15","Iowa",19,41.76,46.72,51.68,30.98
"16","Kansas",20,37.22,42.21,47.21,1.22
"17","Kentucky",21,33.08,38.06,43.04,0.05
"18","Louisiana",22,32.51,37.48,42.44,0.03
"19","Maine",23,48.5,53.48,58.46,98.99
"20","Maryland",24,59.47,64.47,69.47,100
"21","Massachusetts",25,63.96,69.04,74.11,100
"22","Michigan",26,45.95,50.89,55.82,92.58
"23","Minnesota",27,NA,NA,NA,NA
"24","Mississippi",28,33.76,38.75,43.74,0.08
"25","Missouri",29,39.21,44.17,49.14,5.55
"26","Montana",30,39.04,44.03,49.01,4.99
"27","Nebraska",31,40.39,45.41,50.44,13.64
"28","Nevada",32,45.04,50,54.95,85.98
"29","New Hampshire",33,49.84,54.84,59.84,99.66
"30","New Jersey",34,54.95,59.94,64.93,99.99
"31","New Mexico",35,48.62,53.57,58.52,99.06
"32","New York",36,59.1,64.1,69.11,100
"33","North Carolina",37,44.88,49.82,54.76,84.16
"34","North Dakota",38,NA,NA,NA,NA
"35","Ohio",39,41.71,46.65,51.59,29.8
"36","Oklahoma",40,29.77,34.78,39.78,0
"37","Oregon",41,53.22,58.19,63.16,99.98
"38","Pennsylvania",42,46.3,51.23,56.17,94.24
"39","Rhode Island",44,59.84,64.84,69.83,100
"40","South Carolina",45,38.36,43.3,48.24,2.85
"41","South Dakota",46,33.65,38.63,43.62,0.07
"42","Tennessee",47,35.37,40.34,45.3,0.28
"43","Texas",48,42.93,47.91,52.88,53.68
"44","Utah",49,33.98,39.1,44.22,0.1
"45","Vermont",50,60.44,65.48,70.51,100
"46","Virginia",51,49.84,54.82,59.81,99.65
"47","Washington",53,54.87,59.83,64.8,99.99
"48","West Virginia",54,27.84,32.86,37.89,0
"49","Wisconsin",55,46.6,51.55,56.49,95.48
"50","Wyoming",56,22.83,27.88,32.93,0
